user_id,user_name,department,role,status,last_login
U001,Ahmed Benali,Finance,SAISIE_FACTURE,ACTIF,2026-05-01
U001,Ahmed Benali,Finance,VALIDATION_PAIEMENT,ACTIF,2026-05-01
U002,Sara Idrissi,Finance,SAISIE_FACTURE,ACTIF,2026-05-10
U003,Karim Tazi,IT,ADMIN_SYSTEME,ACTIF,2026-04-20
U003,Karim Tazi,IT,VALIDATION_PAIEMENT,ACTIF,2026-04-20
U004,Nadia Rousseau,Comptabilite,VALIDATION_PAIEMENT,ACTIF,2026-05-15
U005,Marc Dupont,Finance,SAISIE_FACTURE,INACTIF,2025-11-01
U005,Marc Dupont,Finance,VALIDATION_PAIEMENT,INACTIF,2025-11-01
U006,Leila Amrani,Direction,LECTURE_SEULE,ACTIF,2026-05-20
U007,Thomas Bernard,IT,ADMIN_SYSTEME,ACTIF,2026-05-28
U007,Thomas Bernard,IT,SAISIE_FACTURE,ACTIF,2026-05-28
